###############
#### ADMIN ####
###############
"GDPR","RGPD"
"Customer status","Statut client"
"Newsletter status","Statut newsletter"
"Complex password (Cnil)","Mot de passe complexe (Cnil)"
"Password reset","Reset du mot de passe"
"Secure multi try log in","Sécurisé les mutliples tentatives de connexion"
"Remove account request","Demande de suppression de compte"
"Download own information","Téléchargement de ses données"
"Functionality","Fonctionnalitées"
"Enable password gdpr format validation","Activer la validation du format rgpd pour me mot de passe"
"Enable login limit attemps","Activer la limitation de tentative de connexion"
"Valid rules","Validité des règles"
"Customer complex password","Client mot de passe complexe"
"No","Non"
"Yes","Oui"
"Valid","Valide"
"Wait manual validation","Attente de validation manuelle"
"No valid","Pas valide"
"Customer multi login attempts limit","Limite de tentative de connexion"
"Customer download own information","Téléchargement des données client"
"Customer data remove information","Supprimer les données client"
"Customer data [REMOVE]","Données client [SUPPRESION]"
"Enable customer data remove","Activer la suppression des données client"
"Enable password confirmation before delete account","Activer la confirmation de mot de passe avant la suppression"
"Remove account data with queue system","Suppression des données par le systeme de queue"
"Enable unsubscribe and remove customer from newsletter","Activer la désinscription et suppression de la newsletter"
"Enable remove customer quotes","Activer la suppression des paniers"
"Enable anonimyse customer orders","Activer l'anonymisation des commandes"
"Enable remove customer account","Activer la suppression du compte"
"Email configuration","Configuration des emails"
"Email confirm account delete","Email de confirmation de suppression du compte"
"Email sender","Email de l'expéditeur"
"Name sender","Nom de l'expéditeur"
"Message configuration","Configuration message"
"Account deleted success message","Message de succès pour la suppression du compte"
"Customer data [DOWNLOAD]","Données client [TELECHARGEMENT]"
"Enable customer data download","Activer le téléchargement des données client"
"Download data with queue system","Téléchargement des données avec la queue"
"Customer attribute to export","Attributs client à exporter"
"Enable customer addresses to export","Activer l'export des adresses"
"Address attributes to export","Attributs d'adresse à exporter"
"Enable customer orders to export","Activer l'export des commandes"
"Order attributes to export","Attributs de commandes à exporter"
"Information message for queue processing message","Message d'information pour le traitement par queue"
"limit login attempts to 5 in 30 seconds","Limiter le nombre de tentatives à 5 en 30 secondes"
